instanceID,no_membrs,years_liv,rooms
uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef,3,4,1
uuid:099de9c9-3e5e-427b-8452-26250e840d6e,7,9,1
uuid:193d7daf-9582-409b-bf09-027dd36f9007,10,15,1
uuid:148d1105-778a-4755-aa71-281eadd4a973,7,6,1
uuid:2c867811-9696-4966-9866-f35c3e97d02d,7,40,1
uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70,3,3,1
uuid:ae20a58d-56f4-43d7-bafa-e7963d850844,6,38,1
uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a,12,70,3
uuid:846103d2-b1db-4055-b502-9cd510bb7b37,8,6,1
uuid:8f4e49bc-da81-4356-ae34-e0d794a23721,12,23,5
uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483,6,20,1
uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557,7,20,3
uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918,6,8,1
uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d,10,20,3
uuid:a837e545-ff86-4a1c-a1a5-6186804b985f,5,30,2
uuid:d17db52f-4b87-4768-b534-ea8f9704c565,6,47,1
uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b,8,20,1
uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3,4,20,1
uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d,9,23,2
uuid:d1005274-bf52-4e79-8380-3350dd7c2bac,6,1,1
uuid:6570a7d0-6a0b-452c-aa2e-922500e35749,8,20,1
uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9,4,20,1
uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de,10,20,4
uuid:661457d3-7e61-45e8-a238-7415e7548f82,6,4,2
uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee,11,6,3
uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e,3,20,2
uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d,7,36,2
uuid:1de53318-a8cf-4736-99b1-8239f8822473,2,2,1
uuid:adcd7463-8943-4c67-b25f-f72311409476,7,10,2
uuid:59341ead-92be-45a9-8545-6edf9f94fdc6,7,22,2
uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8,3,2,1
uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf,19,69,2
uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758,8,34,1
uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4,8,18,3
uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce,5,45,1
uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1,6,23,1
uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd,3,8,1
uuid:81309594-ff58-4dc1-83a7-72af5952ee08,10,19,1
uuid:c0fb6310-55af-4831-ae3d-2729556c3285,6,22,1
uuid:c0b34854-eede-4e81-b183-ef58a45bfc34,9,23,1
uuid:b3ba34d8-eea1-453d-bc73-c141bcbbc5e5,7,22,1
uuid:e3a1dd8a-1bda-428c-a014-2b527f11ae64,8,8,1
uuid:b4dff49f-ef27-40e5-a9d1-acf287b47358,7,29,1
uuid:f9fadf44-d040-4fca-86c1-2835f79c4952,2,6,1
uuid:e3554d22-35b1-4fb9-b386-dd5866ad5792,9,7,1
uuid:35f297e0-aa5d-4149-9b7b-4965004cfc37,10,42,2
uuid:2d0b1936-4f82-4ec3-a3b5-7c3c8cd6cc2b,2,2,1
uuid:e180899c-7614-49eb-a97c-40ed013a38a2,7,58,1
uuid:2303ebc1-2b3c-475a-8916-b322ebf18440,6,26,2
uuid:4267c33c-53a7-46d9-8bd6-b96f58a4f92c,6,7,1
uuid:18ac8e77-bdaf-47ab-85a2-e4c947c9d3ce,5,30,1
uuid:6db55cb4-a853-4000-9555-757b7fae2bcf,11,15,3
uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12,8,16,3
uuid:273ab27f-9be3-4f3b-83c9-d3e1592de919,7,15,1
uuid:883c0433-9891-4121-bc63-744f082c1fa0,9,23,2
uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76,12,23,2
uuid:a7184e55-0615-492d-9835-8f44f3b03a71,4,27,1
uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca,11,45,3
uuid:1936db62-5732-45dc-98ff-9b3ac7a22518,2,60,3
uuid:85465caf-23e4-4283-bb72-a0ef30e30176,8,15,2
uuid:2401cf50-8859-44d9-bd14-1bf9128766f2,10,14,1
uuid:c6597ecc-cc2a-4c35-a6dc-e62c71b345d6,5,5,1
uuid:86ed4328-7688-462f-aac7-d6518414526a,4,10,1
uuid:28cfd718-bf62-4d90-8100-55fafbe45d06,6,1,1
uuid:143f7478-0126-4fbc-86e0-5d324339206b,8,20,3
uuid:a457eab8-971b-4417-a971-2e55b8702816,10,37,3
uuid:6c15d667-2860-47e3-a5e7-7f679271e419,5,31,2
uuid:ef04b3eb-b47d-412e-9b09-4f5e08fc66f9,8,52,3
uuid:f86933a5-12b8-4427-b821-43c5b039401d,4,12,1
uuid:1feb0108-4599-4bf9-8a07-1f5e66a50a0a,8,25,2
uuid:761f9c49-ec93-4932-ba4c-cc7b78dfcef1,6,14,1
uuid:f6d04b41-b539-4e00-868a-0f62b427587d,4,18,8
uuid:429d279a-a519-4dcc-9f64-4673b0fd5d53,5,25,2
uuid:59738c17-1cda-49ee-a563-acd76f6bc487,10,16,1
uuid:7e7961ca-fa1c-4567-9bfa-a02f876e4e03,5,41,1
uuid:77b3021b-a9d6-4276-aaeb-5bfcfd413852,4,4,1
uuid:2186e2ec-f65a-47cc-9bc1-a0f36dd9591c,5,79,2
uuid:87998c33-c8d2-49ec-9dae-c123735957ec,10,13,1
uuid:ece89122-ea99-4378-b67e-a170127ec4e6,7,50,1
uuid:bf373763-dca5-4906-901b-d1bacb4f0286,11,25,2
uuid:394033e8-a6e2-4e39-bfac-458753a1ed78,7,21,3
uuid:268bfd97-991c-473f-bd51-bc80676c65c6,7,24,1
uuid:0a42c9ee-a840-4dda-8123-15c1bede5dfc,5,43,2
uuid:2c132929-9c8f-450a-81ff-367360ce2c19,5,48,1
uuid:44e427d1-a448-4bf2-b529-7d67b2266c06,7,49,2
uuid:85c99fd2-775f-40c9-8654-68223f59d091,5,19,2
uuid:28c64954-739c-444c-a6e0-355878e471c8,3,49,1
uuid:9e79a31c-3ea5-44f0-80f9-a32db49422e3,4,6,2
uuid:06d39051-38ef-4757-b68b-3327b1f16b9d,12,12,4
uuid:c4a2c982-244e-45a5-aa4b-71fa53f99e18,6,24,1
uuid:ac3da862-9e6c-4962-94b6-f4c31624f207,7,9,2
uuid:4178a296-903a-4a8e-9cfa-0cd6143476e8,17,48,2
uuid:a1e9df00-c8ae-411c-931c-c7df898c68d0,5,22,1
uuid:4d0f472b-f8ae-4026-87c9-6b5be14b0a70,7,40,1
uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d,5,10,2
uuid:3c174acd-e431-4523-9ad6-eb14cddca805,3,4,1
uuid:e9d79844-ef14-493b-bbd6-d13691cc660e,6,96,1
uuid:76206b0b-af74-4344-b24f-81e839f0d7b0,12,15,2
uuid:da3fa7cc-5ce9-44fd-9a78-b8982b607515,6,48,1
uuid:a85df6df-0336-46fa-a9f4-522bf6f8b438,5,12,1
uuid:bb2bb365-7d7d-4fe9-9353-b21269676119,14,52,1
uuid:af0904ee-4fdb-4090-973f-599c81ddf022,6,40,1
uuid:468797c1-4a65-4f35-9c83-e28ce46972a2,15,22,5
uuid:602cd3f6-4a97-49c6-80e3-bcfd5c78dfa4,4,12,1
uuid:e7c51ac4-24e4-475e-88e7-f85e896945e3,6,22,3
uuid:01210861-aba1-4268-98d0-0260e05f5155,11,26,3
uuid:77335b2e-8812-4a35-b1e5-ca9ab626dfea,5,25,1
uuid:02b05c68-302e-4e7a-b229-81cb1377fd29,5,14,1
uuid:fa201fce-4e94-44b8-b435-c558c2e1ed55,3,14,1
uuid:628fe23d-188f-43e4-a203-a4bf3257d461,4,16,2
uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b,15,22,2
uuid:cfee6297-2c0e-4f8a-94cc-9aaee0bd64cb,5,25,3
uuid:3fe626b3-c794-48e1-a80f-5bfe440c507b,10,28,4
uuid:0670cef6-d233-4852-89d8-36955261b0a3,7,5,4
uuid:9a096a12-b335-468c-b3cc-1191180d62de,10,24,2
uuid:92613d0d-e7b1-4d62-8ea4-451d7cd0a982,7,8,1
uuid:37577f91-d665-443e-8d70-b914954cef4b,4,24,1
uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66,7,13,2
uuid:62f3f7af-f0f3-4f88-b9e0-acf8baa49ae4,9,14,1
uuid:40aac732-94df-496c-97ba-5b67f59bcc7a,11,16,1
uuid:a9d1a013-043b-475d-a71b-77ed80abe970,8,24,1
uuid:43ec6132-478c-4f87-878d-fb3c0c4d0c74,12,25,2
uuid:64fc743e-8176-40f6-8ae4-36ae97fac1d9,7,36,1
uuid:c17e374c-280b-4e78-bf21-74a7c1c73492,15,16,1
uuid:dad53aff-b520-4015-a9e3-f5fdf9168fe1,10,5,4
uuid:f94409a6-e461-4e4c-a6fb-0072d3d58b00,9,20,1
uuid:69caea81-a4e5-4e8d-83cd-9c18d8e8d965,3,7,1
uuid:5ccc2e5a-ea90-48b5-8542-69400d5334df,7,10,3
uuid:95c11a30-d44f-40c4-8ea8-ec34fca6bbbf,4,5,1
uuid:ffc83162-ff24-4a87-8709-eff17abc0b3b,7,17,2
uuid:aa77a0d7-7142-41c8-b494-483a5b68d8a7,8,20,2
